episode,reward,loss,cost
1,-2198.648452783796,0.14139923778562463,129.4955473806305
2,-2162.317615458355,0.10888345397651926,131.81455996739044
3,-2149.195645631822,0.13035571735223572,135.85554507402605
4,-2146.3944205095568,0.10926253943022295,134.92547240405924
5,-2105.8021225676825,0.11322307729580706,134.11242348520472
6,-2143.4961746882445,0.11319323156463275,143.46960245005494
7,-2247.930351806771,0.09707573013352387,147.73226459764783
8,-2232.824717294718,0.13428090318589173,152.46706107551066
9,-2197.734059988904,0.1182707141577107,144.92252871944578
10,-2174.1457928237023,0.10648753188696652,150.88038512261065
11,-2116.2664102684316,0.10318030036352199,147.1638453780319
12,-2077.5454605758478,0.12371819127885793,135.6211678590966
13,-2095.9274457707124,0.11915212907299529,149.12468798313427
14,-2009.5466491166114,0.10909110453824343,138.45957795710706
15,-2322.132204462029,0.12503667151475056,139.46972387403125
16,-1966.3684123291453,0.13209017741294457,157.58062986915198
17,-2316.413827924497,0.11477609125842662,148.08636788608172
18,-1921.9553198192455,0.09392600345988061,135.09608773213284
19,-2297.353659792473,0.1048191077964,160.0035491070768
20,-2116.580452445942,0.1098856618873361,154.34460801402682
21,-2215.349272607755,0.12428094499986812,142.63980251948885
22,-1973.219052913321,0.13168658892717264,130.3816271379043
23,-1905.3222403897614,0.1053218267645881,152.91200017649697
24,-2043.2613302402642,0.11250660592380216,142.60674159195983
25,-2033.0037396063753,0.1477464913082321,140.62714950056338
26,-2055.079710718626,0.1142864384876805,150.30810170660453
27,-2044.9453336442398,0.1422700426852999,143.75874045040973
28,-2193.475967316336,0.11263515792130903,142.77066358251363
29,-2397.9650620005013,0.14604942697383036,149.4633004239534
30,-2119.7704963282204,0.12486595891112946,165.16245454257884
31,-2469.8683767908897,0.1502610889642909,158.19086615691612
32,-2405.3484754202545,0.11074145067138219,160.40734086538538
33,-2421.299978635297,0.12102445392783967,181.9794620711236
34,-2377.0027311944787,0.10803731071270184,154.37796108701292
35,-2246.9627098658757,0.1262010317765761,169.24020007987767
36,-2245.651418086089,0.11302177979867854,154.67132627047937
37,-2200.2144984315373,0.12313241434952758,143.0353169263535
38,-1944.2404136642194,0.13001044569566167,148.8528340199362
39,-1938.8178266735763,0.12048307429469589,145.3117009731559
40,-2109.9675685154243,0.11128363675718725,142.8915301212033
41,-2337.3046891543836,0.11697880981959223,148.9201713172662
42,-2110.981658266925,0.11518327026068402,165.93081074831568
43,-2367.412344077812,0.14837775168974393,170.81056976777015
44,-2451.7904193614518,0.12007738289958744,171.15099905273857
45,-2443.0448128077255,0.11320650263219935,172.92544241249786
46,-2367.579157661816,0.11359882621793746,164.8806824148046
47,-2271.9764385721546,0.11021749507393207,158.52016949568397
48,-2691.1729579368057,0.12493471304330213,204.0818052755122
49,-2495.412117316105,0.12287548852535699,197.97519840665606
50,-2492.3736569760104,0.12626631735277424,196.1781446866232
51,-2711.241394528425,0.11907994713632274,187.8700581815387
52,-2365.3890172872925,0.10571688549230784,155.82806218695092
53,-2007.7957372974006,0.1301378792893685,159.10249857916767
54,-1725.543980216878,0.12755983530118242,140.8568463979529
55,-1888.1244430730508,0.10888059707638585,109.9594874308861
56,-2061.492360869379,0.12219077041877953,108.59492440367595
57,-2117.365405674374,0.12983589738801252,112.0214167516932
58,-2128.379992704603,0.1155311440724328,112.90928512558094
59,-2447.002413547719,0.10082758766451877,96.05232066615973
60,-2582.0527542547334,0.13390786696202947,111.29645747253693
61,-2477.4792260528534,0.15046162407247018,120.10967852813512
62,-2673.3976139928827,0.15453467825553407,137.95114898544327
63,-2374.339279891127,0.10896182931566849,156.63123584657626
64,-2198.78402471628,0.11985217949658843,171.82721971344984
65,-2381.3375764296743,0.117278911405042,178.7230292123958
66,-2228.044733158882,0.11736848503511409,177.5486844044605
67,-2595.31056444578,0.1357439710212045,176.16581373005297
68,-2856.7301440427555,0.09439792365994484,208.33909535518106
69,-3239.31092640928,0.11614744321911893,232.32795208710962
70,-3112.030215500922,0.14509450866430584,230.8785615618738
71,-2898.6467377722147,0.11096915555864861,197.14157381268382
72,-2627.506284061138,0.11076071306054608,173.74711326365417
73,-2496.2550785560948,0.1227485527985172,166.7945534543968
74,-2572.823025960292,0.1099768927899905,186.89593126686376
75,-2700.190177039366,0.1052916939517103,197.51730086027385
76,-2350.899859581784,0.09918123573915731,157.7546843561661
77,-2154.164548721434,0.11206032051361328,148.76574731396315
78,-1993.8929087213983,0.121617751466269,157.21343719913438
79,-1977.520948603136,0.13399341471567042,144.75026537226393
80,-2041.92659906032,0.1373387527279458,159.4630999062896
81,-2325.425093742708,0.14227634236337525,175.76431499639295
82,-2576.104425527592,0.11073175765859952,185.6681033838879
83,-2636.4717845667287,0.1404174536420336,196.40321889673342
84,-2643.014327003806,0.12865933118962417,192.2335616934687
85,-2643.9435462508777,0.10941195813019561,210.26176824550654
86,-2791.5775187429535,0.12384170152397293,182.10153788306357
87,-2818.421690150442,0.11564279327905501,173.94219396471237
88,-2312.131672250865,0.1357226250964769,142.92100472063012
89,-2660.920203366248,0.1362449076376355,170.2102744967063
90,-2071.548509078981,0.1203639321348125,163.13016632137698
91,-2150.3520364302058,0.10128267174044221,186.07580440955084
92,-2238.351978084641,0.11652155657066461,187.53392671872302
93,-2250.1025424454415,0.11785259758161075,188.87083162649978
94,-2309.0630015953684,0.12617613431555408,174.29632155934937
95,-2955.74180049879,0.13491348654897709,197.51566345579457
96,-3504.1791965685434,0.10852376733720558,206.23952054905496
97,-3092.955665830084,0.12309676889301178,230.15574615712282
