round,param_value,reward,loss,cost
577,64,-1190.5659829261217,0.09965354201472038,35.74824936007312
578,64,-856.0989862670788,0.0954024119086165,16.18251359310133
579,64,-686.0662167511143,0.08987405236464362,35.087748635307534
580,64,-1471.3448312586625,0.08556200180806371,27.43295609153391
581,64,-451.65629839588246,0.08258141814068089,22.17562177305642
582,64,-1314.3780982668086,0.07935119223711286,31.95085745779109
583,64,-676.1093763503497,0.07702426765035127,36.514821440166585
584,64,-775.9065106924234,0.07291984720191953,14.647008883255413
585,64,-430.5844627913202,0.07220334606145203,26.208778614035772
586,64,-1355.5584586907653,0.06876735562494572,41.341000526063006
587,64,-1522.7947062567146,0.06701372161134464,27.882458897336402
588,64,-418.9528871825877,0.0650522701910925,7.542685933530977
589,64,-579.103239882519,0.06312940859959072,46.95449695472762
590,64,-2252.9167825951604,0.06274527460275316,51.878035953918115
591,64,-1254.1727309912894,0.060798948894077914,23.45626531546138
592,64,-1347.9632990002651,0.06032773646532873,30.560184073635437
593,64,-515.9645727877275,0.057963644829116104,24.519321704640717
594,64,-311.49389990512947,0.05770393023638276,2.2699425587678004
595,64,-411.0065039607412,0.4388339180535021,24.223125549052373
596,64,-437.1047549917292,0.29539493220254254,20.088373302405397
597,64,-288.25208353063505,0.23346384196949843,2.261972039530811
598,64,-288.30339498525836,0.19366941570539398,2.2659077689434874
599,64,-601.2504307400103,0.16535185059657492,41.542549627535905
600,64,-950.087908163094,0.1482801802721196,22.42705298822697
601,64,-304.95163900218125,0.13358196022491842,2.262137995227127
602,64,-491.118118714291,0.12282319243338269,16.71613387406015
603,64,-720.5214954407127,0.11212732500642889,46.135193404098914
604,64,-992.2001011276686,0.10513700195960106,18.453095529470204
605,64,-858.385129764314,0.09859345187539065,43.655080669204835
606,64,-1656.304909347524,0.09388036125383456,33.956912328206684
607,64,-826.3993729596982,0.08890961277208993,20.240800477371604
608,64,-313.7943363226781,0.08518805727618338,2.2547407529800334
609,64,-370.11081156007816,0.08093985730407242,9.112385028732831
610,64,-515.7824265223435,0.0787173313055334,16.195283594004554
611,64,-918.3227564686407,0.07613512210605294,52.1856422221724
612,64,-1641.49724881757,0.07288950000169768,30.063721568058618
613,64,-297.37794309683744,0.07094383263001264,2.242709338926029
614,64,-468.45900646118787,0.06987277534910054,32.715141396781924
615,64,-869.7540815415439,0.06832472290214575,28.171817626548716
616,64,-737.5960819435693,0.06620952575334328,25.352365759491665
617,64,-782.2880550983373,0.06456667887296105,45.770092353159875
618,64,-502.59286231199457,0.06381826212352422,13.055245591337787
